Subject c,,Condition: reference present
Delta,Estimate,Coherence
8.5,14,0.07
8.5,14,0.07
9.5,23,0.07
9.5,17,0.07
9.5,12,0.07
9.5,16,0.07
9.5,-20,0.07
9.5,12,0.07
10.5,8,0.07
10.5,9,0.07
10.5,14,0.07
10.5,2,0.07
10.5,8,0.07
11.5,16,0.07
11.5,6,0.07
11.5,15,0.07
12.5,4,0.07
12.5,18,0.07
13.5,10,0.07
13.5,23,0.07
13.5,22,0.07
13.5,7,0.07
13.5,14,0.07
13.5,6,0.07
14.5,0,0.07
15.5,-16,0.07
16.5,17,0.07
16.5,21,0.07
16.5,26,0.07
17.5,12,0.07
18.5,22,0.07
18.5,17,0.07
19.5,16,0.07
19.5,7,0.07
19.5,15,0.07
19.5,21,0.07
20.5,8,0.07
20.5,15,0.07
20.5,30,0.07
20.5,18,0.07
20.5,17,0.07
20.5,28,0.07
20.5,13,0.07
21.5,-18,0.07
21.5,-13,0.07
21.5,-9,0.07
21.5,17,0.07
21.5,20,0.07
21.5,36,0.07
21.5,23,0.07
22.5,27,0.07
22.5,16,0.07
23.5,30,0.07
24.5,15,0.07
24.5,11,0.07
24.5,26,0.07
-24.5,-27,0.13
-24.5,-27,0.13
-23.5,-16,0.13
-23.5,-16,0.13
-23.5,-11,0.13
-23.5,-27,0.13
-22.5,-17,0.13
-22.5,-15,0.13
-22.5,-15,0.13
-22.5,-22,0.13
-22.5,-27,0.13
-22.5,-24,0.13
-22.5,-11,0.13
-22.5,-19,0.13
-21.5,-14,0.13
-21.5,-13,0.13
-21.5,-21,0.13
-21.5,-19,0.13
-21.5,-28,0.13
-20.5,-11,0.13
-20.5,-20,0.13
-20.5,3,0.13
-20.5,-9,0.13
-20.5,-30,0.13
-20.5,-28,0.13
-19.5,-38,0.13
-19.5,-8,0.13
-19.5,-16,0.13
-19.5,-8,0.13
-19.5,-6,0.13
-19.5,-20,0.13
-18.5,-37,0.13
-18.5,-29,0.13
-18.5,-25,0.13
-18.5,-22,0.13
-17.5,-31,0.13
-17.5,-19,0.13
-16.5,-35,0.13
-16.5,13,0.13
-15.5,-19,0.13
-14.5,-21,0.13
-14.5,2,0.13
-14.5,-27,0.13
-14.5,-3,0.13
-13.5,-12,0.13
-13.5,18,0.13
-13.5,-13,0.13
-12.5,-22,0.13
-12.5,-10,0.13
-12.5,-12,0.13
-11.5,-10,0.13
-11.5,18,0.13
-11.5,-11,0.13
-11.5,-16,0.13
-11.5,-18,0.13
-11.5,-27,0.13
-10.5,-8,0.13
-9.5,17,0.13
-9.5,-26,0.13
-9.5,-4,0.13
-9.5,-29,0.13
-8.5,-16,0.13
-8.5,-10,0.13
-8.5,-25,0.13
-8.5,-19,0.13
-7.5,-11,0.13
-7.5,13,0.13
-6.5,3,0.13
-6.5,-9,0.13
-6.5,14,0.13
-5.5,-19,0.13
-5.5,-12,0.13
-4.5,15,0.13
-4.5,-25,0.13
-3.5,-16,0.13
-3.5,-14,0.13
-3.5,-10,0.13
-3.5,-17,0.13
-2.5,-12,0.13
-2.5,12,0.13
-2.5,-10,0.13
-2.5,10,0.13
-2.5,-3,0.13
-1.5,21,0.13
-1.5,-6,0.13
-1.5,-7,0.13
-0.5,18,0.13
-0.5,-21,0.13
-0.5,-9,0.13
-0.5,-2,0.13
-0.5,-1,0.13
-0.5,1,0.13
-0.5,-7,0.13
-0.5,30,0.13
0.5,-5,0.13
0.5,-16,0.13
0.5,-1,0.13
0.5,-27,0.13
0.5,-18,0.13
1.5,19,0.13
1.5,7,0.13
1.5,5,0.13
1.5,-6,0.13
1.5,-10,0.13
1.5,-12,0.13
2.5,-6,0.13
2.5,16,0.13
3.5,-5,0.13
3.5,-9,0.13
3.5,9,0.13
4.5,-8,0.13
4.5,16,0.13
5.5,4,0.13
5.5,-13,0.13
6.5,17,0.13
7.5,-8,0.13
7.5,-4,0.13
8.5,-15,0.13
9.5,-15,0.13
9.5,13,0.13
10.5,16,0.13
10.5,16,0.13
11.5,8,0.13
11.5,-9,0.13
11.5,-6,0.13
11.5,8,0.13
11.5,17,0.13
11.5,4,0.13
11.5,-12,0.13
12.5,-1,0.13
12.5,10,0.13
12.5,29,0.13
13.5,-5,0.13
13.5,20,0.13
14.5,15,0.13
14.5,17,0.13
14.5,19,0.13
15.5,17,0.13
15.5,17,0.13
16.5,11,0.13
16.5,17,0.13
16.5,-4,0.13
16.5,18,0.13
17.5,26,0.13
17.5,25,0.13
18.5,11,0.13
18.5,24,0.13
18.5,12,0.13
19.5,17,0.13
20.5,19,0.13
20.5,12,0.13
20.5,16,0.13
20.5,11,0.13
20.5,14,0.13
21.5,16,0.13
21.5,29,0.13
22.5,20,0.13
22.5,22,0.13
23.5,11,0.13
23.5,11,0.13
23.5,11,0.13
23.5,12,0.13
23.5,33,0.13
24.5,20,0.13
24.5,-12,0.13
24.5,22,0.13
24.5,21,0.13
-24.5,-18,0.25
-24.5,-36,0.25
-24.5,-22,0.25
-24.5,-20,0.25
-24.5,-14,0.25
-24.5,-21,0.25
-23.5,-23,0.25
-23.5,-30,0.25
-23.5,-14,0.25
-22.5,-34,0.25
-22.5,-17,0.25
-22.5,-28,0.25
-22.5,-28,0.25
-22.5,-22,0.25
-22.5,-23,0.25
-21.5,-25,0.25
-21.5,-14,0.25
-21.5,-13,0.25
-20.5,-20,0.25
-20.5,-24,0.25
-20.5,-34,0.25
-20.5,-13,0.25
-19.5,-3,0.25
-19.5,-25,0.25
-19.5,-23,0.25
-18.5,-8,0.25
-18.5,-25,0.25
-18.5,-30,0.25
-18.5,-8,0.25
-18.5,-17,0.25
-18.5,-23,0.25
-18.5,-13,0.25
-18.5,-24,0.25
-17.5,-19,0.25
-17.5,-29,0.25
-16.5,-20,0.25
-15.5,-5,0.25
-15.5,-15,0.25
-15.5,20,0.25
-15.5,-12,0.25
-15.5,-18,0.25
-15.5,-23,0.25
-15.5,7,0.25
-14.5,-18,0.25
-14.5,-30,0.25
-14.5,-15,0.25
-14.5,-22,0.25
-13.5,-4,0.25
-13.5,-20,0.25
-13.5,-3,0.25
-13.5,-19,0.25
-13.5,-26,0.25
-12.5,-9,0.25
-12.5,-7,0.25
-12.5,-26,0.25
-11.5,12,0.25
-11.5,-19,0.25
-11.5,-13,0.25
-11.5,-9,0.25
-11.5,-29,0.25
-10.5,-24,0.25
-10.5,2,0.25
-9.5,-17,0.25
-9.5,-10,0.25
-9.5,2,0.25
-8.5,-13,0.25
-8.5,-15,0.25
-8.5,-18,0.25
-8.5,15,0.25
-8.5,1,0.25
-8.5,2,0.25
-7.5,-18,0.25
-7.5,-6,0.25
-6.5,5,0.25
-6.5,-6,0.25
-6.5,-7,0.25
-6.5,-16,0.25
-6.5,-9,0.25
-5.5,5,0.25
-4.5,2,0.25
-4.5,-9,0.25
-4.5,12,0.25
-3.5,17,0.25
-3.5,-24,0.25
-3.5,16,0.25
-3.5,0,0.25
-3.5,-13,0.25
-3.5,8,0.25
-3.5,13,0.25
-2.5,19,0.25
-0.5,4,0.25
-0.5,-7,0.25
-0.5,11,0.25
-0.5,29,0.25
1.5,9,0.25
1.5,-1,0.25
1.5,-6,0.25
1.5,18,0.25
1.5,-14,0.25
2.5,23,0.25
2.5,-4,0.25
2.5,19,0.25
2.5,8,0.25
3.5,6,0.25
3.5,11,0.25
3.5,-8,0.25
4.5,-12,0.25
4.5,6,0.25
4.5,7,0.25
5.5,-21,0.25
5.5,2,0.25
5.5,-7,0.25
5.5,12,0.25
6.5,-2,0.25
6.5,-3,0.25
6.5,-10,0.25
6.5,0,0.25
6.5,-12,0.25
7.5,22,0.25
7.5,9,0.25
7.5,-1,0.25
7.5,17,0.25
7.5,18,0.25
7.5,18,0.25
8.5,-1,0.25
8.5,-27,0.25
9.5,-16,0.25
9.5,21,0.25
9.5,23,0.25
9.5,9,0.25
10.5,13,0.25
10.5,9,0.25
10.5,8,0.25
11.5,13,0.25
11.5,17,0.25
11.5,8,0.25
11.5,0,0.25
12.5,31,0.25
12.5,-7,0.25
12.5,8,0.25
13.5,18,0.25
13.5,10,0.25
13.5,15,0.25
14.5,12,0.25
14.5,16,0.25
14.5,14,0.25
14.5,22,0.25
15.5,15,0.25
15.5,14,0.25
15.5,37,0.25
15.5,14,0.25
16.5,34,0.25
16.5,18,0.25
16.5,17,0.25
16.5,16,0.25
16.5,26,0.25
17.5,20,0.25
17.5,10,0.25
17.5,21,0.25
18.5,19,0.25
18.5,14,0.25
18.5,15,0.25
18.5,21,0.25
18.5,21,0.25
19.5,16,0.25
19.5,15,0.25
20.5,27,0.25
20.5,22,0.25
21.5,34,0.25
21.5,18,0.25
21.5,28,0.25
21.5,22,0.25
22.5,29,0.25
22.5,24,0.25
22.5,30,0.25
23.5,16,0.25
23.5,11,0.25
23.5,21,0.25
23.5,17,0.25
23.5,-4,0.25
24.5,18,0.25
24.5,27,0.25
24.5,19,0.25
